Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Norte,Rondônia,0 -100,6.0,<17,0.0,Redação
Norte,Rondônia,101-200,18.0,<17,0.0,Redação
Norte,Rondônia,201-300,416.0,<17,26.0,Redação
Norte,Rondônia,301-400,1621.0,<17,104.0,Redação
Norte,Rondônia,401-500,2978.0,<17,223.0,Redação
Norte,Rondônia,501-600,5328.0,<17,484.0,Redação
Norte,Rondônia,601-700,4942.0,<17,605.0,Redação
Norte,Rondônia,701-800,3028.0,<17,383.0,Redação
Norte,Rondônia,801-900,2916.0,<17,332.0,Redação
Norte,Rondônia,901-1.000,1719.0,<17,144.0,Redação
Norte,Rondônia,>1.001,0.0,<17,0.0,Redação
Norte,Acre,0 -100,9.0,<17,0.0,Redação
Norte,Acre,101-200,21.0,<17,1.0,Redação
Norte,Acre,201-300,352.0,<17,14.0,Redação
Norte,Acre,301-400,1398.0,<17,67.0,Redação
Norte,Acre,401-500,2142.0,<17,131.0,Redação
Norte,Acre,501-600,3784.0,<17,254.0,Redação
Norte,Acre,601-700,3130.0,<17,269.0,Redação
Norte,Acre,701-800,1700.0,<17,186.0,Redação
Norte,Acre,801-900,1535.0,<17,146.0,Redação
Norte,Acre,901-1.000,1246.0,<17,73.0,Redação
Norte,Acre,>1.001,0.0,<17,0.0,Redação
Norte,Amazonas,0 -100,9.0,<17,0.0,Redação
Norte,Amazonas,101-200,53.0,<17,0.0,Redação
Norte,Amazonas,201-300,1133.0,<17,47.0,Redação
Norte,Amazonas,301-400,4637.0,<17,217.0,Redação
Norte,Amazonas,401-500,8075.0,<17,403.0,Redação
Norte,Amazonas,501-600,13636.0,<17,717.0,Redação
Norte,Amazonas,601-700,9614.0,<17,682.0,Redação
Norte,Amazonas,701-800,4827.0,<17,391.0,Redação
Norte,Amazonas,801-900,3993.0,<17,325.0,Redação
Norte,Amazonas,901-1.000,2358.0,<17,155.0,Redação
Norte,Amazonas,>1.001,1.0,<17,0.0,Redação
Norte,Roraima,0 -100,1.0,<17,0.0,Redação
Norte,Roraima,101-200,5.0,<17,0.0,Redação
Norte,Roraima,201-300,128.0,<17,20.0,Redação
Norte,Roraima,301-400,492.0,<17,63.0,Redação
Norte,Roraima,401-500,792.0,<17,97.0,Redação
Norte,Roraima,501-600,1497.0,<17,206.0,Redação
Norte,Roraima,601-700,1270.0,<17,190.0,Redação
Norte,Roraima,701-800,732.0,<17,96.0,Redação
Norte,Roraima,801-900,762.0,<17,71.0,Redação
Norte,Roraima,901-1.000,470.0,<17,30.0,Redação
Norte,Roraima,>1.001,0.0,<17,0.0,Redação
Norte,Pará,0 -100,32.0,<17,0.0,Redação
Norte,Pará,101-200,158.0,<17,7.0,Redação
Norte,Pará,201-300,3382.0,<17,259.0,Redação
Norte,Pará,301-400,13218.0,<17,1004.0,Redação
Norte,Pará,401-500,21912.0,<17,1971.0,Redação
Norte,Pará,501-600,35281.0,<17,3100.0,Redação
Norte,Pará,601-700,29126.0,<17,3068.0,Redação
Norte,Pará,701-800,17337.0,<17,2166.0,Redação
Norte,Pará,801-900,17979.0,<17,2216.0,Redação
Norte,Pará,901-1.000,15327.0,<17,1469.0,Redação
Norte,Pará,>1.001,3.0,<17,0.0,Redação
Norte,Amapá,0 -100,3.0,<17,0.0,Redação
Norte,Amapá,101-200,14.0,<17,0.0,Redação
Norte,Amapá,201-300,346.0,<17,7.0,Redação
Norte,Amapá,301-400,1545.0,<17,83.0,Redação
Norte,Amapá,401-500,2666.0,<17,151.0,Redação
Norte,Amapá,501-600,4675.0,<17,293.0,Redação
Norte,Amapá,601-700,3661.0,<17,316.0,Redação
Norte,Amapá,701-800,1957.0,<17,204.0,Redação
Norte,Amapá,801-900,1837.0,<17,179.0,Redação
Norte,Amapá,901-1.000,1437.0,<17,123.0,Redação
Norte,Amapá,>1.001,0.0,<17,0.0,Redação
